id,text,label_mean,hate_label,hate_target_label,implicit_hate,Zero-Shot Hate Detection,One-Shot Hate Detection,Few-Shot Hate Detection,Zero-Shot Hate Target Detection,One-Shot Hate Target Detection,Few-Shot Hate Target Detection
622bf6bdf9e041298d811d080236ce7d,"Please share this far and wide. There is no justification for this!!! This is a disgusting example of what groups like BLM create. All they want is racial division, suffering and the destruction of this country. This guy should be locked up for life!!Echo.  #DefundBLM #DefundBlackLivesMatter #AllLivesMatter #ArrestSoros #ThinBlueLine #BackTheBlue #Trump2020 #RedWave2020 #4MoreYears #Maga",2.5,no,,,yes,yes,no,,,
62c1457cebf247689a5abc42b17da9c1,BIDEN PROMISES TO MESS UP FREE SPEECH ON THE INTERNET IF ELECTED (BITCHUTE EXCLUSIVE),2.3333333,no,,,no,yes,no,,,
632186e4210d4c36a370e2558df15b0c,Expert Behind Michigan County Audit Warns New Info Coming from State Will 'Drastically Change the Playing Field',1,no,,,no,no,no,,,
63846da27c16431fb13f3aeca094df32,"Joe Biden blames Trump supporters for inflaming the violence. He's right about that. Our very existence upsets the libtrds. If we weren't here to stop them, they would have their utopia",2.3333333,no,,,yes,yes,yes,,,
6ea9217315a94db280935c1a9291adde,Another reason every muslim needs to be deported or killed! #nomuslimcanbetrusted!,5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
74ef7594acff4b6d8e640b40bde4cf06,Conservatives are so concerned about liberals because they can't bare people thinking freely and sticking to ancient laws.,2.3333333,no,,,no,no,no,,,
756e2ae47d344a31b0fc3370e600e885,"Now Corruption Story Is About Joe, Not Hunter Biden | RealClearPolitics",2.5,no,,,no,no,no,,,
7a45328c9d864673bdfb5c304f89b1ac,"Georgia YOUR Governor is Corrupt!!!

Forensic or Fraud!!!!",2.3333333,no,,,no,yes,no,,,
7f2f99de87c742598c0b7aafc2c24c5a,"Christian zionists are APOSTATES
Jews are the SYNAGOGUE OF SATAN
Israel are the believers in CHRIST, not those ugly little turk half breeds changing their European names to jew names to pretend and mine your shekels",5,yes,jews,no,yes,yes,yes,jews,jews,jews
8079c73b5013461786aa3f9356117359,Democrat Jerry Nadler Pulls The Impeachment Trigger Are They Really Going Through With It? | Tea Party Pac,1.3333334,no,,,no,no,no,,,
80aec6a85e9040c398571a9a928f4791,LGBTQ is for faggots and child rapists,5,yes,lgbt,no,yes,yes,yes,lgbt,lgbt,lgbt
8102bcd72eb44c8d9b5c1c5355aa100c,Let Liberty Ring,1,no,,,no,no,no,,,
8169f221975646949fd9a4e40a529872,That fat nigger Oprah in the racism commercial says the niggers have demands. I demand they all go back towards Africa in duck boats and sink halfway there.,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
844b7b1f35d7455d9e553a8a6f4e2d2c,"Best 90 days of my career

We're up 90,000,000+ minutes viewed inc a week off in 90 days

It's amazing! Thank you

Common Sense FM. Argy Bargy

Welcome to our 168,000 subscribers. 

Dreams can come true! Let's have much more fun! Tell your friends...",1,no,,,no,no,no,,,
84785ec357c84f3fb8f946ee389c30dd,The only difference between a niggar and dogshit is eventually dogshit will turn white and stop smelling bad,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
87a664267fe944a5bf5d6d015cc12523,It was never about flattening the curve or saving lives. It was about complete control and destroying the middle class.,2,no,,,no,no,no,,,
88f11568e7ba450a8e810f523cb8dda3,Was told I couldn't participate in rioting looting and burning because I was not a Democrat.,2.5,no,,,no,no,no,,,
89cfdf76862947c1bd8205364d67aafa,"Cenk Uygur is a goat fucker...

""Young Turk-ey? Bernie Sanders Immediately Retracts His Endorsement of Bestiality-Legalizing Congressional Candidate Cenk Uygur""",4.6666665,yes,muslims,yes,yes,yes,yes,other,other,other
8b35907ce1424ca6bb7044a17246b7b1,"MSNBC Reporter Has Freakout On Live TV, Says ""S**t, F**k"" As They Cut His Feed",1.3333334,no,,,no,no,no,,,
8b77551fcea94625bb1ff7c30f6be7c6,Jews won't be satisfied until there are more blacks in this country than there are humans.,5,yes,jews,no,yes,yes,yes,jews,jews,jews
8c03020fc9344a1982a71409bd869719,"Ya can't make this up !
 Former Obama Vice President JOE BIDEN Is Now WANTED ON CLASS A FELONY CHARGES In Ukraine",2,no,,,no,no,no,,,
8e1aee72c62b41c9bbb684abd11e5724,HUGE 50% OFF SALE NOW UNTIL BLACK FRIDAY! IF I DO GOOD THERE IS MORE TO COME FOR BLACK FRIDAY! JUST CLICK THE LINK AND FIND YOUR TREASURE FOR HALF OFF!,1,no,,,no,no,no,,,
8e24f1ddcf4341b18c6fee040f53b9a8,Police Say Greek Man Detained in American Scientist's Death,1,no,,,no,no,no,,,
8e889504c8a74af09037ff74bc06df1b,I hope every business moves out of new York city because the dumb fuck mayor allowed them to be broken into,2.666667,no,,,no,yes,no,,,
8f386cf7a510446085d51c9828dc7c20,Woman Arrested For Sending Threats To Wayne County Republican Who Refused to Certify Vote; Threats Included Pics Of Mutilated Bodies,1.666667,no,,,no,yes,no,,,
935c2b8980b547d59cfd13e1895002b9,Good god both @blocked & @OleMissFB are taking a knee for this bullshit #socialjustice shit. & fans are booing. #whitelivesmatter #fuckblm #fuckblacklivesmatter #BlackLivesMatterTerrorists #gators #olemiss,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
9503e349140b4bbe9e496f4c0f15f830,Whistleblower claims top DHS officials sought to alter intelligence assessments to fit Trump's comments,1.5,no,,,no,no,no,,,
95c315fdcd1749dea14abc6173a8dd80,"i was going to follow up on a complaint to my local primary over gender identity indoctrination.

can be arsed who gives a fuck about your kids and your sort",3.3333333,yes,lgbt,yes,yes,yes,yes,other,lgbt,lgbt
980426d54d7d42208c6241bcf1f31fd4,Kurt Eichenwald is the stereotypical dirty pedophile kike.,4.6666665,yes,jews,yes,yes,yes,yes,jews,jews,jews
9f88e1c171184903b67c206dd8382db7,"Planned Parenthood CEO Alexis McGill Johnson: Were Proud to Kill Babies in Abortions, Its Really Not a Big Deal 

What a sick POS BITCH....",5,yes,females,yes,yes,yes,yes,other,other,females
a3ad1fc6300d4373aafc01153e07c326,"I've told people I'm a Realist. That is what I am. I am telling you what I'm hearing from these people- PRETENDING to ""Offer you solutions"". 

 Suddenly Dan Bongino's ""laying out a plan"", for ""AFTER""-""Civil Disobedience, Embrace it!"", ""Voter ID, vote in person!"" so, he's mentioned it a week ago. Probably before THAT, too. SO WHAT. we all have. 

WE'VE BEEN TRYING ALL THIS BULLSHIT. We've been UNABLE TO GET IT IMPLEMENTED. PERIOD. 

 These are all BULLSHIT ""Plans"". These are things that should have been done BEFORE THIS ELECTION- yet, were NOT, and we have the Presidency and the SENATE. 

 ARE YOU PEOPLE SEEING, what I TOLD YOU, IN MY POSTS YESTERDAY? 

MAADCAP- a word I MADE UP. I FREELY ADMIT IT. BUT NOW? YOU ARE SEEING IT IN ACTION. 

 They have their own word for it. I called it ""MAADCAP""- MASS ACCEPTENCE AND DEESCALATION CAMPAIGN for AMERICAN PATRIOTS- 

Today? They floated: ""President Trump Conceded the Election"". Did he? NO? 

This? WAS A TEST- to see, HOW THEY ARE DOING.",2.6666667,no,,,no,yes,no,,,
a3e5348f49064f62a8c8827ead7cf6df,The View' Cuts Off Kim Klacik For Confronting Joy Behar Over 'Blackface',2,no,,,no,no,no,,,
a52df008bfe9417db97ede8768b60e6f,"Saw this on Twatter, brilliant

So call each other ""nigga""? Sing songs about beating coppers up and treating women like shit? Walk with a fake limp with half your underpants showing and you want f*cking respect?",5,yes,blacks,yes,yes,yes,yes,blacks,blacks,blacks
a8dbab234d8440eea53486855f65cc9f,"#blm #blacklivesmatter #blacktranslivesmatter #defundthepolice #blmprotest #blmprotesters #trumpisafascist #trumpisaracist #trumpisanidiot 

#makeamericagreatagain #keepamericagreat #alllivesmatter #whitelivesmatter #bluelivesmatter #backtheblue #defendthepolice #trump2020 #trumptrain #donaldtrump #guns #gunowners #thinblueline #maga #blmterrorists #blmisajoke #blmmarxists #defundblm #blmriots #blmisracist #blmisaterroristorganization #blmisalie #trump2020landslide #tuckercarlson #istandwithtrump",2.6666667,no,,,no,yes,no,,,
a99050e7c1fd457cbdf918973724e8ff,Senate Acquits Trump on Both Articles of Impeachment,1.25,no,,,no,no,no,,,
a9a027b39fba4f799e37e029c0a6e6af,LOOOOOOOOOOOOL... The US is an illegitimate state? What a cuckold lesbian!,5,yes,lgbt,no,yes,yes,yes,lgbt,lgbt,lgbt
ae03dc6ec7e84b709df67c59e93aad71,"Hours after Nancy Pelosi labeled Republicans as domestic enemies,leftist mobs harassed, intimidated, tried to incite violence against Republicans in streets. Her reckless comments have consequences. She should immediately condemn these assaults..",1,no,,,no,no,no,,,
aec8cf26935c43069396c8f64df1e2ad,Cuomo threatens to shut down the Synagogues in NYC. So where the fuck are you Schumer and that fat fucking umpa loompa Nadler. You're both fake fucking Jews.,5,yes,jews,no,yes,yes,yes,jews,jews,jews
b16fe4c184e1424db31b0e0ebb31dbd3,Now we know where Muslims come from. They are spawned in sewers and crawl out like rats to consume everyone else's stuff.,5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
b1ea001ffa4e4e5fbb2b79ed4aff3e5a,Former 'Today Show' Co-Host Ann Curry Says She Believes Woman Who Accused Matt Lauer Of Rape | American Update,1,no,,,no,no,no,,,
b1efdea1a9264f5da14939a1f72c58a7,"Man accused of shoving elderly NYC woman has been arrested over 100 times

Another Fricking Black Thug Hero for the Left. This is the Scum walking our streets that are now dictating our police policy.",5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
b24bc16110df4c6686c78f72f945902b,It should have been a quiet evening at the cinema then Muslim thugs riot. Kick all these arse wipes out of our green and pleasant land,4.3333335,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
b9bf2bd01bc04eaba3247c24533f4e2e,The Left just can't help themselves. Ask the next Leftist what the definition of Fascism is and watch them squirm. Their hypocrisy is unbelievable.,1.6666666,no,,,no,no,no,,,
bfdf39781edd4fff92adeb7b4d307624,"Refuse to use the term transgender, folks. It's a liberal PC term used to control speech and conservatives.

It's TRANSSEXUAL and it's psychotic!",3.6666667,yes,lgbt,no,yes,yes,yes,lgbt,lgbt,lgbt
c00cc34e631e48a79339798a3d52d46e,Around blacks never relax,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
c08690825d69439299d20656b754aece,MAYBE WE SHOULD START IMPEACHMENT PROCEEDINGS..,1.75,no,,,no,no,no,,,
c189d6fe49d84b86b54b412852e78b2c,Oh the wonderful life of homosexuals....they driven by perverse love and will destroy all before them,5,yes,lgbt,no,yes,yes,yes,lgbt,lgbt,lgbt
c5c537ef59934b26a862b3bd3c40da3e,"Hey another unsuitable Mom just killed a baby by abortion, I think we should all riot and burn down a city!",3.5,yes,females,yes,yes,yes,yes,females,females,females
cab4fcd3476949158f3d57272d9034bd,4.2 Million Americans Abandon The Catholic Church In Protest Of Pope Francis | Neon Nettle,2.25,no,,,no,no,no,,,
cbfdb1017fd847c48c9a32c99c4ecf45,I hope the next nigger to get killed by the cops is @MilkUser,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
ce59ed1be0c1434da14aa8071f92f2e8,"If you bitch slap a Jew and a Christian, the Jew always feels more pain.",4.3333335,yes,jews,no,yes,yes,yes,jews,jews,jews
cf61630d56844b31ba904457f4bd8f26,I'm now waiting for the New Zealand All Blacks to be picked on next,1.6666666,no,,,no,no,no,,,
d043130e7019442f9029b92bb1d95131,Deadly Rabbit Virus First Detected In Riverside County Spreads,1,no,,,no,no,no,,,
d08770d9c0074b4e950865aa58fa0ec4,"LOOKS SOLID TO ME.

YOU CAN'T JUST SLUFF THIS OFF.",1.5,no,,,no,no,no,,,
d197f4b9429640f48ea3fe54059e5f41,Send that nigger back to africa!!!! (Small a),4.5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
da43710a282c44ee89311c6628bad8f8,Newspaper owners resigned because niggers and their white chimpathizers complained that the white lady was being robbed by a nigger in a cartoon. Funny how all the burglars in ADT and Ring commercials are always white and nobody complains.,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
dcfa68799cdc4c66bcf158270d1f6a8e,"We have more hunters, x servicemen in this fine country that we out-numbered the Japanese.

THAT is WHY....they didn't attack the mainland.

They knew they MIGHT make it as far as Nebraska BUT

KNEW they couldn't win against the armed populus",2.3333333,no,,,yes,yes,yes,,,
de6c9ee12daf48c5b68d5be4572e18e9,"I hate Muslims. I hate democrats, they are the first targets",5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
e021f1436fc1432698f2e5231b7908f4,"If liberals don't like it, don't read it, but they might enrich their lives by reading. #JordanPeterson",1.3333334,no,,,no,no,no,,,
e3e81299e72c4f6bae6b62c881815f02,DONNA BRAZILE IS A BLACK BITCH BIMBO SAYS BIDEN FIRST CATHOLIC PRESIDENT. LMFAO. OH YA JFK WHO WAS KILLED BY DNC WAS NOT ONE. BLACK JEMIMA WHORE.,5,yes,blacks,no,yes,yes,yes,other,blacks,blacks
e5e7d62b2510423bb4ceabfcaf75ea02,"I'm following irredeemable deplorables ONLY! 
 NO MUSLIMS! Go drink camel piss like your lying, murdering, pedophile prophet!",5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
f0d7804ac7fd48ac84b8c3f40940805c,OOPS .. I Hate That When That Happens .. The Snakes Eating Their Own Tails .. #TruthToLight,1,no,,,no,no,no,,,
f891b0f3b3a24da78bbe5a2cae4b722a,Black trash!,3.6666667,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
f9b10d8dd1404508a7c20e9227b229a4,If Trump loses the election he won't be loser the people of this country will be the losers,1,no,,,no,no,no,,,
fe7b061375e945d2b21a58a3aae9ceee,Looks like is down to Europe to save the world from Globalism.......we're fucked.,1.25,no,,,no,yes,no,,,
